Approach,Nominal,,,,,,,,Corrupted,,,,,,,
,5% test inputs,,,,10% test inputs,,,,5% test inputs,,,,10% test inputs,,,
,CIFAR-10,"Tiny
-ImageNet",IMDB,SMS,CIFAR-10,"Tiny
-ImageNet",IMDB,SMS,CIFAR-10,"Tiny
-ImageNet",IMDB,SMS,CIFAR-10,"Tiny
-ImageNet",IMDB,SMS
LSA,1.22%,3.51%,2.97%,1.15%,1.38%,5.72%,3.62%,1.28%,3.75%,5.45%,3.21%,0.37%,5.85%,10.67%,4.31%,1.15%
DSA,1.27%,3.64%,3.10%,1.25%,1.45%,5.85%,3.82%,1.31%,3.75%,5.61%,3.48%,0.99%,5.92%,11.45%,4.45%,1.56%
MCP,1.29%,3.93%,3.21%,1.28%,1.48%,6.05%,4.08%,1.33%,3.82%,5.83%,3.73%,1.34%,6.12%,12.29%,4.67%,1.69%
Deepgini,1.32%,4.38%,3.54%,1.31%,1.54%,6.29%,4.34%,1.36%,3.92%,6.73%,4.27%,1.97%,6.71%,13.07%,4.93%,2.10%
PRIMA,1.31%,4.55%,3.67%,1.33%,1.54%,6.38%,4.38%,1.34%,3.94%,6.94%,4.38%,1.98%,6.62%,13.23%,4.98%,2.19%
TestRank,1.31%,4.08%,3.42%,1.30%,1.47%,6.24%,4.25%,1.34%,3.84%,6.24%,3.96%,1.61%,6.43%,12.50%,4.86%,1.79%
CertPri,1.30%,4.18%,3.61%,1.28%,1.52%,6.33%,4.32%,1.36%,3.88%,6.61%,4.12%,1.70%,6.69%,12.80%,4.89%,2.08%
TDPR,1.33%,4.94%,3.75%,1.35%,1.55%,6.41%,4.43%,1.38%,3.97%,7.08%,4.56%,2.12%,6.94%,13.63%,5.11%,2.26%